2020-12-13 18:17:53 |INFO  |http-nio-8081-exec-3 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 2 ms
2020-12-13 18:17:53 |INFO  |http-nio-8081-exec-1 |LoginController.java:41 |com.woniu.springboot.portals.controller.LoginController |获取登录用户信息时的sessionId值：D219327C7F4D00706AE904995C29ED72
2020-12-13 18:17:54 |INFO  |http-nio-8081-exec-3 |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2020-12-13 18:18:06 |INFO  |http-nio-8081-exec-10 |LoginController.java:41 |com.woniu.springboot.portals.controller.LoginController |获取登录用户信息时的sessionId值：512F04C4516220690DAB97F88A24621F
2020-12-13 18:18:42 |INFO  |http-nio-8081-exec-4 |LoginController.java:41 |com.woniu.springboot.portals.controller.LoginController |获取登录用户信息时的sessionId值：066DF3BF71C414B9F43B9AFA10642BEA
2020-12-13 19:26:56 |INFO  |main |StartupInfoLogger.java:55 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |Starting SpringbootK15AdminApplicationTests using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 21956 (started by xiakai in D:\ideaprojects\springboot_k15\springboot_k15_admin)
2020-12-13 19:26:56 |INFO  |main |SpringApplication.java:664 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |The following profiles are active: dev
2020-12-13 19:27:00 |INFO  |main |PostProcessorRegistrationDelegate.java:350 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'shiroAutoJavaConfig' of type [com.woniu.springboot.admin.config.ShiroAutoJavaConfig$$EnhancerBySpringCGLIB$$d42e5d5d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-13 19:27:00 |INFO  |main |PostProcessorRegistrationDelegate.java:350 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'credentialsMatcher' of type [org.apache.shiro.authc.credential.HashedCredentialsMatcher] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-13 19:27:00 |INFO  |main |PostProcessorRegistrationDelegate.java:350 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
