2020-11-28 14:15:16 |WARN  |restartedMain |AbstractApplicationContext.java:596 |org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext |Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'documentationPluginsBootstrapper' defined in URL [jar:file:/D:/software/apache-maven-3.6.1/repository/io/springfox/springfox-spring-web/2.9.2/springfox-spring-web-2.9.2.jar!/springfox/documentation/spring/web/plugins/DocumentationPluginsBootstrapper.class]: Unsatisfied dependency expressed through constructor parameter 1; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'webMvcRequestHandlerProvider' defined in URL [jar:file:/D:/software/apache-maven-3.6.1/repository/io/springfox/springfox-spring-web/2.9.2/springfox-spring-web-2.9.2.jar!/springfox/documentation/spring/web/plugins/WebMvcRequestHandlerProvider.class]: Unsatisfied dependency expressed through constructor parameter 1; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'requestMappingHandlerMapping' defined in class path resource [org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]: Invocation of init method failed; nested exception is java.lang.IllegalStateException: Ambiguous mapping. Cannot map 'courseController' method 
com.woniu.springboot.portals.controller.CourseController#getFineCourseF(String)
to {GET [/course/getFineCourse]}: There is already 'courseController' bean method
com.woniu.springboot.portals.controller.CourseController#getFineCourse(String) mapped.
2020-11-28 14:15:19 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:15:25 |WARN  |restartedMain |AbstractApplicationContext.java:596 |org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext |Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'documentationPluginsBootstrapper' defined in URL [jar:file:/D:/software/apache-maven-3.6.1/repository/io/springfox/springfox-spring-web/2.9.2/springfox-spring-web-2.9.2.jar!/springfox/documentation/spring/web/plugins/DocumentationPluginsBootstrapper.class]: Unsatisfied dependency expressed through constructor parameter 1; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'webMvcRequestHandlerProvider' defined in URL [jar:file:/D:/software/apache-maven-3.6.1/repository/io/springfox/springfox-spring-web/2.9.2/springfox-spring-web-2.9.2.jar!/springfox/documentation/spring/web/plugins/WebMvcRequestHandlerProvider.class]: Unsatisfied dependency expressed through constructor parameter 1; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'requestMappingHandlerMapping' defined in class path resource [org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]: Invocation of init method failed; nested exception is java.lang.IllegalStateException: Ambiguous mapping. Cannot map 'courseController' method 
com.woniu.springboot.portals.controller.CourseController#getFineCourseFourth(String)
to {GET [/course/getFineCourse]}: There is already 'courseController' bean method
com.woniu.springboot.portals.controller.CourseController#getFineCourse(String) mapped.
2020-11-28 14:15:30 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:21:03 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:21:09 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:21:13 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:21:28 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:21:34 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:21:38 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:21:42 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:23:02 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=204, msg=精品课程信息为空)]
2020-11-28 14:23:03 |WARN  |http-nio-80-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=204, msg=精品课程信息为空)]
2020-11-28 14:34:04 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:34:13 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:34:21 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:35:16 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:35:23 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:35:27 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:35:31 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 14:35:35 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
