2020-12-02 19:52:58 |WARN  |http-nio-80-exec-9 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:53:00 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:53:01 |WARN  |http-nio-80-exec-10 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:53:03 |WARN  |http-nio-80-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 19:53:09 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:21:49 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-02 20:24:41 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:25:54 |WARN  |http-nio-80-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:28:46 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:40:07 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:41:43 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:46:46 |WARN  |http-nio-80-exec-9 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:57:31 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 20:57:46 |WARN  |http-nio-80-exec-4 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:01:41 |WARN  |http-nio-80-exec-10 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:01:47 |WARN  |http-nio-80-exec-3 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:01:58 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:02:49 |WARN  |http-nio-80-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:04:56 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:04:59 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:05:05 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:06:01 |WARN  |http-nio-80-exec-6 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:06:07 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:06:08 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:06:12 |WARN  |http-nio-80-exec-7 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:06:16 |WARN  |http-nio-80-exec-4 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:06:18 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:08:24 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:08:29 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:08:35 |WARN  |http-nio-80-exec-9 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:08:39 |WARN  |http-nio-80-exec-3 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:08:43 |WARN  |http-nio-80-exec-7 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 21:08:55 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 22:46:05 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-02 22:47:35 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 22:47:49 |WARN  |http-nio-80-exec-9 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 22:48:03 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 22:51:25 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-02 22:52:01 |WARN  |http-nio-80-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 22:52:12 |WARN  |http-nio-80-exec-7 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 22:52:12 |WARN  |http-nio-80-exec-4 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 22:53:40 |WARN  |http-nio-80-exec-4 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=501, msg=token为空)]
2020-12-02 23:17:34 |WARN  |main |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-02 23:19:52 |WARN  |main |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-02 23:26:19 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-02 23:26:44 |WARN  |http-nio-80-exec-5 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=201, msg=失败)]
2020-12-02 23:26:47 |WARN  |http-nio-80-exec-6 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=201, msg=失败)]
