2020-12-10 16:33:55 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 16:34:24 |WARN  |http-nio-8080-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=207, msg=根据id查询车辆为空)]
2020-12-10 16:36:15 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 16:44:50 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 16:53:52 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 16:58:19 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 17:14:33 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 17:25:15 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 19:09:24 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 19:14:06 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 19:21:54 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 19:23:24 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 19:42:59 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 19:44:37 |WARN  |http-nio-8080-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [java.lang.NullPointerException]
2020-12-10 19:54:03 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 19:56:28 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 20:04:13 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 20:10:10 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 20:13:34 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 20:39:24 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 20:47:19 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 20:50:25 |WARN  |http-nio-8080-exec-6 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [org.springframework.dao.DataIntegrityViolationException: 
### Error updating database.  Cause: java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`myvehicle`.`vehiclefiles`, CONSTRAINT `colorid` FOREIGN KEY (`colorid`) REFERENCES `dictionary` (`id`))
### The error may exist in file [D:\ideaprojects\car\caradmin\target\classes\mapper\VehiclefilesMapper.xml]
### The error may involve com.woniuxy.caradmin.mapper.VehiclefilesMapper.addVehiclefiles-Inline
### The error occurred while setting parameters
### SQL: INSERT INTO vehiclefiles (vehiclenum,brandid,clazzid,typeid,colorid,seat,         did,loads,oilconsump,inimileage,servicemileage,purchasedate,purchaseprice,information,         frontimg,afterimg,available,statusid)VALUES (?,?,?,?,?,?,?,?,         ?,?,?,?,?,?,?,?,?,?)
### Cause: java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`myvehicle`.`vehiclefiles`, CONSTRAINT `colorid` FOREIGN KEY (`colorid`) REFERENCES `dictionary` (`id`))
; Cannot add or update a child row: a foreign key constraint fails (`myvehicle`.`vehiclefiles`, CONSTRAINT `colorid` FOREIGN KEY (`colorid`) REFERENCES `dictionary` (`id`)); nested exception is java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`myvehicle`.`vehiclefiles`, CONSTRAINT `colorid` FOREIGN KEY (`colorid`) REFERENCES `dictionary` (`id`))]
2020-12-10 20:54:39 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 20:56:22 |WARN  |http-nio-8080-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=201, msg=失败)]
2020-12-10 20:56:28 |WARN  |http-nio-8080-exec-3 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=201, msg=失败)]
2020-12-10 20:56:36 |WARN  |http-nio-8080-exec-7 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=201, msg=失败)]
